i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
76,3768904,-0.00285985,-0.00164948,-0.00085699,-0.00075718,0.00019523,-0.05992147,0.02849145,-0.00340473,-0.03797438,2.50102522,-0.05829017
77,3778904,-0.00411132,-0.00285985,-0.00164948,-0.00085699,-0.00075718,-0.05829017,-0.05992147,0.02849145,-0.00340473,2.44273505,-0.05112188
78,3788903,-0.00452305,-0.00411132,-0.00285985,-0.00164948,-0.00085699,-0.05112188,-0.05829017,-0.05992147,0.02849145,2.39161317,-0.00557999
79,3798903,-0.00545912,-0.00452305,-0.00411132,-0.00285985,-0.00164948,-0.00557999,-0.05112188,-0.05829017,-0.05992147,2.38603318,-0.07946577
80,3808903,-0.00599459,-0.00545912,-0.00452305,-0.00411132,-0.00285985,-0.07946577,-0.00557999,-0.05112188,-0.05829017,2.30656741,-0.02968573
81,3818903,-0.00548409,-0.00599459,-0.00545912,-0.00452305,-0.00411132,-0.02968573,-0.07946577,-0.00557999,-0.05112188,2.27688169,0.02584234
82,3828903,-0.00638072,-0.00548409,-0.00599459,-0.00545912,-0.00452305,0.02584234,-0.02968573,-0.07946577,-0.00557999,2.30272403,-0.12916807
83,3838903,-0.00774858,-0.00638072,-0.00548409,-0.00599459,-0.00545912,-0.12916807,0.02584234,-0.02968573,-0.07946577,2.17355596,-0.09315735
84,3848904,-0.00798537,-0.00774858,-0.00638072,-0.00548409,-0.00599459,-0.09315735,-0.12916807,0.02584234,-0.02968573,2.08039861,-0.00032303
85,3858904,-0.00897602,-0.00798537,-0.00774858,-0.00638072,-0.00548409,-0.00032303,-0.09315735,-0.12916807,0.02584234,2.08007558,-0.12477132
86,3868903,-0.00971214,-0.00897602,-0.00798537,-0.00774858,-0.00638072,-0.12477132,-0.00032303,-0.09315735,-0.12916807,1.95530426,-0.06229180
87,3878904,-0.01046334,-0.00971214,-0.00897602,-0.00798537,-0.00774858,-0.06229180,-0.12477132,-0.00032303,-0.09315735,1.89301246,-0.07715465
88,3888904,-0.01063299,-0.01046334,-0.00971214,-0.00897602,-0.00798537,-0.07715465,-0.06229180,-0.12477132,-0.00032303,1.81585781,-0.05329455
89,3898904,-0.01077603,-0.01063299,-0.01046334,-0.00971214,-0.00897602,-0.05329455,-0.07715465,-0.06229180,-0.12477132,1.76256327,-0.06697742
90,3908904,-0.01010083,-0.01077603,-0.01063299,-0.01046334,-0.00971214,-0.06697742,-0.05329455,-0.07715465,-0.06229180,1.69558584,-0.01377832
91,3918904,-0.00915089,-0.01010083,-0.01077603,-0.01063299,-0.01046334,-0.01377832,-0.06697742,-0.05329455,-0.07715465,1.68180752,-0.02503187
92,3928904,-0.00837615,-0.00915089,-0.01010083,-0.01077603,-0.01063299,-0.02503187,-0.01377832,-0.06697742,-0.05329455,1.65677565,-0.04560259
93,3938904,-0.00818503,-0.00837615,-0.00915089,-0.01010083,-0.01077603,-0.04560259,-0.02503187,-0.01377832,-0.06697742,1.61117306,-0.06996712
94,3948904,-0.00875301,-0.00818503,-0.00837615,-0.00915089,-0.01010083,-0.06996712,-0.04560259,-0.02503187,-0.01377832,1.54120594,-0.10165878
