i,time,raw_accel,raw_gyro,kalman_accel
181,5363447,0.87036218,-75.58740234,0.11950090
182,5365446,1.07420929,-99.69628906,0.12354116
183,5367445,1.11497090,-126.30761719,0.12698119
184,5369443,1.01400538,-149.43994141,0.12879150
185,5371457,0.99173221,-174.09814453,0.12955625
186,5373480,0.72034924,-194.36181641,0.12743845
187,5375479,0.41806066,-206.20263672,0.12260794
188,5377475,0.29390465,-214.13720703,0.11657718
189,5379474,-0.23590773,-216.27343750,0.10642106
190,5381484,-0.23182431,-215.78515625,0.09634139
191,5383495,-0.13486188,-215.23583984,0.08704239
192,5385491,-0.21533041,-212.36718750,0.07736764
193,5387483,-0.24440402,-209.86474609,0.06763432
194,5389483,-0.69481123,-205.34814453,0.05466730
195,5391515,-0.74471385,-198.51220703,0.04156801
196,5393531,-0.50337901,-190.39453125,0.03062008
197,5395524,-0.44422184,-179.95751953,0.02067964
198,5397517,-0.69196894,-173.54882812,0.00918133
199,5399514,-0.79102768,-166.40771484,-0.00274596
200,5401610,-0.50750571,-160.91455078,-0.01235604
201,5403622,-0.73949091,-154.01757812,-0.02348225
202,5405615,-0.70815070,-149.31787109,-0.03391916
203,5407607,-0.82244087,-140.58984375,-0.04487643
204,5409600,-0.59545116,-133.69287109,-0.05376223
205,5411855,-0.37298020,-120.75341797,-0.06076044
206,5413872,-0.61035109,-109.40087891,-0.06914830
207,5415870,-0.81559036,-100.12353516,-0.07840839
208,5417872,-0.93007577,-84.13232422,-0.08798251
209,5419989,-0.82104420,-71.19287109,-0.09617378
210,5422002,-0.62015785,-56.48339844,-0.10241136
211,5424006,-0.65640899,-35.97558594,-0.10809115
212,5425998,-0.73982498,-21.26611328,-0.11379147
213,5427990,-0.73811511,-6.73974609,-0.11893227
214,5430090,-0.82326438,8.15283203,-0.12416814
215,5432111,-0.72433785,25.66992188,-0.12801025
216,5434107,-0.75315788,46.05566406,-0.13138078
217,5436109,-0.82612922,66.25830078,-0.13458792
218,5438112,-0.68703486,85.85058594,-0.13601545
219,5440176,-0.49363407,104.03906250,-0.13525211
220,5442170,-0.35791837,117.46679688,-0.13293940
221,5444163,-0.32150207,126.25585938,-0.13011164
222,5446154,-0.21502036,133.58007812,-0.12622003
223,5448145,0.21017509,137.18115234,-0.11894709
224,5450171,0.14779208,137.73046875,-0.11211898
225,5452180,-0.04343971,135.04492188,-0.10683465
226,5454173,-0.01019795,132.90869141,-0.10147863
227,5456162,0.03144940,130.83349609,-0.09593531
228,5458159,0.51523839,129.42968750,-0.08677482
229,5460365,0.47047853,125.03515625,-0.07791720
230,5462448,0.29752646,118.68750000,-0.07053585
231,5464447,0.67572593,110.75292969,-0.06085705
232,5466447,0.42625128,103.67285156,-0.05346952
233,5468447,0.54786331,95.98242188,-0.04546759
234,5470454,0.42042519,88.78027344,-0.03875316
235,5472476,0.25255957,83.77539062,-0.03353985
236,5474473,0.29403302,79.01464844,-0.02824852
237,5476474,0.12710792,74.43701172,-0.02444026
238,5478473,0.03049641,71.20214844,-0.02152302
239,5480480,0.06124115,69.49316406,-0.01846404
240,5482495,0.17260820,69.06591797,-0.01458062
241,5484489,0.24175524,68.76074219,-0.01023630
242,5486487,0.51146885,66.25830078,-0.00392437
243,5488487,0.69439800,62.29101562,0.00361764
244,5490495,0.62410112,53.80712891,0.01031497
245,5492515,0.46401329,42.08837891,0.01537131
246,5494511,0.56399751,30.49169922,0.02073434
247,5496507,0.66476991,19.20019531,0.02643317
248,5498506,0.72263452,7.42041016,0.03212826
249,5500517,0.86165380,-5.88525391,0.03839751
