i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
56,3568915,0.09604971,0.08346864,0.07559393,0.06259701,0.05375703,0.46297746,0.94331181,0.62409252,0.51739192,1.16767469,1.10469183
57,3578914,0.10954271,0.09604971,0.08346864,0.07559393,0.06259701,1.10469183,0.46297746,0.94331181,0.62409252,2.27236652,1.03567542
58,3588914,0.10568647,0.10954271,0.09604971,0.08346864,0.07559393,1.03567542,1.10469183,0.46297746,0.94331181,3.30804194,-0.22557582
59,3598914,0.11548956,0.10568647,0.10954271,0.09604971,0.08346864,-0.22557582,1.03567542,1.10469183,0.46297746,3.08246612,1.62686451
60,3608914,0.11560086,0.11548956,0.10568647,0.10954271,0.09604971,1.62686451,-0.22557582,1.03567542,1.10469183,4.70933063,0.26716404
61,3618914,0.10050871,0.11560086,0.11548956,0.10568647,0.10954271,0.26716404,1.62686451,-0.22557582,1.03567542,4.97649467,-0.43810541
62,3628914,0.08565816,0.10050871,0.11560086,0.11548956,0.10568647,-0.43810541,0.26716404,1.62686451,-0.22557582,4.53838926,0.38715670
63,3638914,0.07542413,0.08565816,0.10050871,0.11560086,0.11548956,0.38715670,-0.43810541,0.26716404,1.62686451,4.92554596,0.37029333
64,3648914,0.06410907,0.07542413,0.08565816,0.10050871,0.11560086,0.37029333,0.38715670,-0.43810541,0.26716404,5.29583929,0.05701983
65,3658918,0.05208831,0.06410907,0.07542413,0.08565816,0.10050871,0.05701983,0.37029333,0.38715670,-0.43810541,5.35285912,0.10316354
66,3668914,0.04070481,0.05208831,0.06410907,0.07542413,0.08565816,0.10316354,0.05701983,0.37029333,0.38715670,5.45602266,0.05208085
67,3678914,0.03070228,0.04070481,0.05208831,0.06410907,0.07542413,0.05208085,0.10316354,0.05701983,0.37029333,5.50810351,0.02895556
68,3688916,0.02176259,0.03070228,0.04070481,0.05208831,0.06410907,0.02895556,0.05208085,0.10316354,0.05701983,5.53705907,0.00308179
69,3698914,0.01094788,0.02176259,0.03070228,0.04070481,0.05208831,0.00308179,0.02895556,0.05208085,0.10316354,5.54014087,-0.24313367
70,3708914,0.00077008,0.01094788,0.02176259,0.03070228,0.04070481,-0.24313367,0.00308179,0.02895556,0.05208085,5.29700720,-0.17470084
71,3718919,-0.00965710,0.00077008,0.01094788,0.02176259,0.03070228,-0.17470084,-0.24313367,0.00308179,0.02895556,5.12230635,-0.29186497
72,3728914,-0.01875049,-0.00965710,0.00077008,0.01094788,0.02176259,-0.29186497,-0.17470084,-0.24313367,0.00308179,4.83044139,-0.26435908
73,3738916,-0.02756151,-0.01875049,-0.00965710,0.00077008,0.01094788,-0.26435908,-0.29186497,-0.17470084,-0.24313367,4.56608231,-0.34320971
74,3748915,-0.03698162,-0.02756151,-0.01875049,-0.00965710,0.00077008,-0.34320971,-0.26435908,-0.29186497,-0.17470084,4.22287261,-0.46643958
75,3758919,-0.04717697,-0.03698162,-0.02756151,-0.01875049,-0.00965710,-0.46643958,-0.34320971,-0.26435908,-0.29186497,3.75643302,-0.54401174
76,3768914,-0.06009852,-0.04717697,-0.03698162,-0.02756151,-0.01875049,-0.54401174,-0.46643958,-0.34320971,-0.26435908,3.21242129,-0.77940960
77,3778914,-0.07291729,-0.06009852,-0.04717697,-0.03698162,-0.02756151,-0.77940960,-0.54401174,-0.46643958,-0.34320971,2.43301168,-0.73229535
78,3788914,-0.08346544,-0.07291729,-0.06009852,-0.04717697,-0.03698162,-0.73229535,-0.77940960,-0.54401174,-0.46643958,1.70071634,-0.65645602
79,3798914,-0.09134214,-0.08346544,-0.07291729,-0.06009852,-0.04717697,-0.65645602,-0.73229535,-0.77940960,-0.54401174,1.04426031,-0.64579543
80,3808914,-0.09800505,-0.09134214,-0.08346544,-0.07291729,-0.06009852,-0.64579543,-0.65645602,-0.73229535,-0.77940960,0.39846488,-0.70777518
81,3818916,-0.10537003,-0.09800505,-0.09134214,-0.08346544,-0.07291729,-0.70777518,-0.64579543,-0.65645602,-0.73229535,-0.30931030,-0.84964393
82,3828914,-0.11869531,-0.10537003,-0.09800505,-0.09134214,-0.08346544,-0.84964393,-0.70777518,-0.64579543,-0.65645602,-1.15895423,-1.29868949
83,3838914,-0.13226701,-0.11869531,-0.10537003,-0.09800505,-0.09134214,-1.29868949,-0.84964393,-0.70777518,-0.64579543,-2.45764372,-1.13153377
84,3848915,-0.13391309,-0.13226701,-0.11869531,-0.10537003,-0.09800505,-1.13153377,-1.29868949,-0.84964393,-0.70777518,-3.58917749,-0.36001918
85,3858922,-0.13748105,-0.13391309,-0.13226701,-0.11869531,-0.10537003,-0.36001918,-1.13153377,-1.29868949,-0.84964393,-3.94919667,-1.08736450
86,3868914,-0.13156970,-0.13748105,-0.13391309,-0.13226701,-0.11869531,-1.08736450,-0.36001918,-1.13153377,-1.29868949,-5.03656118,-0.26596657
87,3878914,-0.11555939,-0.13156970,-0.13748105,-0.13391309,-0.13226701,-0.26596657,-1.08736450,-0.36001918,-1.13153377,-5.30252774,0.10146498
88,3888914,-0.10018250,-0.11555939,-0.13156970,-0.13748105,-0.13391309,0.10146498,-0.26596657,-1.08736450,-0.36001918,-5.20106277,-0.39827335
89,3898914,-0.08870050,-0.10018250,-0.11555939,-0.13156970,-0.13748105,-0.39827335,0.10146498,-0.26596657,-1.08736450,-5.59933612,-0.43166050
90,3908914,-0.07862722,-0.08870050,-0.10018250,-0.11555939,-0.13156970,-0.43166050,-0.39827335,0.10146498,-0.26596657,-6.03099661,-0.31477963
91,3918914,-0.06897940,-0.07862722,-0.08870050,-0.10018250,-0.11555939,-0.31477963,-0.43166050,-0.39827335,0.10146498,-6.34577624,-0.28824820
92,3928914,-0.06046002,-0.06897940,-0.07862722,-0.08870050,-0.10018250,-0.28824820,-0.31477963,-0.43166050,-0.39827335,-6.63402444,-0.26415945
93,3938914,-0.04946554,-0.06046002,-0.06897940,-0.07862722,-0.08870050,-0.26415945,-0.28824820,-0.31477963,-0.43166050,-6.89818389,0.03156128
94,3948914,-0.03799287,-0.04946554,-0.06046002,-0.06897940,-0.07862722,0.03156128,-0.26415945,-0.28824820,-0.31477963,-6.86662261,0.01391428
95,3958918,-0.02514302,-0.03799287,-0.04946554,-0.06046002,-0.06897940,0.01391428,0.03156128,-0.26415945,-0.28824820,-6.85270833,0.17039245
96,3968914,-0.01230991,-0.02514302,-0.03799287,-0.04946554,-0.06046002,0.17039245,0.01391428,0.03156128,-0.26415945,-6.68231588,0.20709722
97,3978914,-0.00016067,-0.01230991,-0.02514302,-0.03799287,-0.04946554,0.20709722,0.17039245,0.01391428,0.03156128,-6.47521866,0.22143511
98,3988914,0.01128983,-0.00016067,-0.01230991,-0.02514302,-0.03799287,0.22143511,0.20709722,0.17039245,0.01391428,-6.25378355,0.29105233
99,3998914,0.02096790,0.01128983,-0.00016067,-0.01230991,-0.02514302,0.29105233,0.22143511,0.20709722,0.17039245,-5.96273122,0.25779351
100,4008914,0.03131932,0.02096790,0.01128983,-0.00016067,-0.01230991,0.25779351,0.29105233,0.22143511,0.20709722,-5.70493771,0.44750083
101,4018915,0.04261284,0.03131932,0.02096790,0.01128983,-0.00016067,0.44750083,0.25779351,0.29105233,0.22143511,-5.25743689,0.55070739
102,4028914,0.05405883,0.04261284,0.03131932,0.02096790,0.01128983,0.55070739,0.44750083,0.25779351,0.29105233,-4.70672949,0.58466570
103,4038914,0.06580690,0.05405883,0.04261284,0.03131932,0.02096790,0.58466570,0.55070739,0.44750083,0.25779351,-4.12206379,0.69019837
104,4048914,0.08454807,0.06580690,0.05405883,0.04261284,0.03131932,0.69019837,0.58466570,0.55070739,0.44750083,-3.43186542,1.25326612
105,4058919,0.10017910,0.08454807,0.06580690,0.05405883,0.04261284,1.25326612,0.69019837,0.58466570,0.55070739,-2.17859930,0.81697323
106,4068914,0.10868026,0.10017910,0.08454807,0.06580690,0.05405883,0.81697323,1.25326612,0.69019837,0.58466570,-1.36162607,0.56261869
107,4078914,0.11837764,0.10868026,0.10017910,0.08454807,0.06580690,0.56261869,0.81697323,1.25326612,0.69019837,-0.79900738,1.06025456
108,4088914,0.12950748,0.11837764,0.10868026,0.10017910,0.08454807,1.06025456,0.56261869,0.81697323,1.25326612,0.26124718,1.08644910
109,4098914,0.14238398,0.12950748,0.11837764,0.10868026,0.10017910,1.08644910,1.06025456,0.56261869,0.81697323,1.34769629,1.23085732
110,4108916,0.15557646,0.14238398,0.12950748,0.11837764,0.10868026,1.23085732,1.08644910,1.06025456,0.56261869,2.57855361,1.31039904
111,4118914,0.15471376,0.15557646,0.14238398,0.12950748,0.11837764,1.31039904,1.23085732,1.08644910,1.06025456,3.88895265,0.33368232
112,4128914,0.16166113,0.15471376,0.15557646,0.14238398,0.12950748,0.33368232,1.31039904,1.23085732,1.08644910,4.22263496,1.55832552
113,4138914,0.15806522,0.16166113,0.15471376,0.15557646,0.14238398,1.55832552,0.33368232,1.31039904,1.23085732,5.78096049,0.44093547
114,4148914,0.14570961,0.15806522,0.16166113,0.15471376,0.15557646,0.44093547,1.55832552,0.33368232,1.31039904,6.22189596,0.21731650
115,4158918,0.13701114,0.14570961,0.15806522,0.16166113,0.15471376,0.21731650,0.44093547,1.55832552,0.33368232,6.43921246,0.94362128
116,4168914,0.12072223,0.13701114,0.14570961,0.15806522,0.16166113,0.94362128,0.21731650,0.44093547,1.55832552,7.38283374,-0.00641998
117,4178914,0.10488943,0.12072223,0.13701114,0.14570961,0.15806522,-0.00641998,0.94362128,0.21731650,0.44093547,7.37641376,0.34658981
