i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
69,3698841,1.60561573,1.66561755,1.64606656,1.62274971,1.59563429,0.87181910,0.81418583,0.75325589,0.70347481,-3.46701708,0.62411764
70,3708843,1.51136245,1.60561573,1.66561755,1.64606656,1.62274971,0.62411764,0.87181910,0.81418583,0.75325589,-2.84289943,0.64454621
71,3718840,1.49518937,1.51136245,1.60561573,1.66561755,1.64606656,0.64454621,0.62411764,0.87181910,0.81418583,-2.19835322,1.00481613
72,3728840,1.49832657,1.49518937,1.51136245,1.60561573,1.66561755,1.00481613,0.64454621,0.62411764,0.87181910,-1.19353709,0.97390944
73,3738839,1.49499758,1.49832657,1.49518937,1.51136245,1.60561573,0.97390944,1.00481613,0.64454621,0.62411764,-0.21962765,0.97170514
74,3748840,1.48653993,1.49499758,1.49832657,1.49518937,1.51136245,0.97170514,0.97390944,1.00481613,0.64454621,0.75207749,1.02216010
75,3758842,1.47359995,1.48653993,1.49499758,1.49832657,1.49518937,1.02216010,0.97170514,0.97390944,1.00481613,1.77423759,1.06947182
76,3768840,1.46054374,1.47359995,1.48653993,1.49499758,1.49832657,1.06947182,1.02216010,0.97170514,0.97390944,2.84370942,1.13456258
77,3778840,1.44069463,1.46054374,1.47359995,1.48653993,1.49499758,1.13456258,1.06947182,1.02216010,0.97170514,3.97827199,1.16780712
78,3788840,1.41220634,1.44069463,1.46054374,1.47359995,1.48653993,1.16780712,1.13456258,1.06947182,1.02216010,5.14607912,1.20441266
79,3798840,1.38026382,1.41220634,1.44069463,1.46054374,1.47359995,1.20441266,1.16780712,1.13456258,1.06947182,6.35049178,1.26215583
80,3808840,1.34881842,1.38026382,1.41220634,1.44069463,1.46054374,1.26215583,1.20441266,1.16780712,1.13456258,7.61264761,1.32639026
81,3818846,1.32411543,1.34881842,1.38026382,1.41220634,1.44069463,1.32639026,1.26215583,1.20441266,1.16780712,8.93903787,1.41227398
82,3828840,1.30536924,1.32411543,1.34881842,1.38026382,1.41220634,1.41227398,1.32639026,1.26215583,1.20441266,10.35131185,1.49216853
83,3838843,1.28504859,1.30536924,1.32411543,1.34881842,1.38026382,0.43619409,1.41227398,1.32639026,1.26215583,10.78750593,1.48788339
84,3848840,1.25806181,1.28504859,1.30536924,1.32411543,1.34881842,0.00000000,0.43619409,1.41227398,1.32639026,10.78750593,1.44925866
