n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM
89,5236634,0.00771659,2.11879974,0.04455093,2.16335067,1.70169788,14.87133578,34.77628344
90,5256634,0.03420696,1.09940610,-0.16421913,0.93518697,2.63688485,14.87133578,41.06480373
91,5276634,0.04987996,1.12275362,-0.25446758,0.86828604,3.50517089,14.75931217,47.25945771
92,5296634,0.02867743,-2.84026143,-0.33825988,-3.17852132,0.32664958,14.75931217,25.72375687
93,5316635,0.00112710,-1.15825003,-0.03152270,-1.18977273,-0.86312315,14.75931217,-29.35857106
94,5336635,-0.04551657,-3.83685970,0.08329407,-3.75356563,-4.61668878,14.75931217,-54.79041766
95,5356635,-0.05000441,1.62217589,0.44552481,2.06770070,-2.54898808,14.75931217,-40.78095246
96,5376635,-0.03285780,1.51306004,0.24598527,1.75904531,-0.78994276,14.83771977,-28.71022522
97,5396634,0.00606477,1.99001985,0.07623193,2.06625178,1.27630902,14.83771977,31.98812952
98,5416634,0.02380401,0.06098721,-0.12316779,-0.06218058,1.21412844,14.83771977,31.56905852
99,5436634,0.03730110,1.45794604,-0.11716717,1.34077887,2.55490731,14.83771977,40.60534503
100,5456635,0.02147022,-2.12764180,-0.24655650,-2.37419829,0.18070901,14.83771977,24.60424561
101,5476635,0.00073740,-1.18730367,-0.01743898,-1.20474265,-1.02403364,14.85993784,-30.24261398
102,5496634,-0.03866671,-3.17969901,0.09882243,-3.08087658,-4.10491022,14.85993784,-50.97538295
103,5516634,-0.05419176,-0.15023154,0.39613659,0.24590505,-3.85900517,14.85993784,-49.32056411
104,5536635,-0.03252077,3.14467626,0.37240599,3.51708225,-0.34192292,14.85993784,-25.65234769
105,5556635,-0.00895752,-0.38511521,0.03299662,-0.35211859,-0.69404151,14.85993784,-28.02193087
106,5576634,0.01142923,0.95995166,0.06697716,1.02692882,0.33288732,14.85117807,25.60663738
107,5596634,0.04003463,3.84998286,-0.03212466,3.81785820,4.15074551,14.85117807,51.31408077
108,5616634,0.06007397,0.53352917,-0.40055984,0.13296932,4.28371484,14.85117807,52.20942606
109,5636634,0.03267261,-4.33154310,-0.41339179,-4.74493490,-0.46122006,14.85117807,-26.47076240
110,5656635,-0.02340989,-3.29699862,0.04450917,-3.25248945,-3.71370951,14.85117807,-48.37131083
111,5676634,-0.01862745,5.28585223,0.35838451,5.64423673,1.93052723,14.78106468,36.53679450
112,5696634,0.00588541,0.45171957,-0.18630188,0.26541769,2.19594492,14.78106468,38.33245466
113,5716634,0.03306121,0.53181222,-0.21191551,0.31989671,2.51584163,14.78106468,40.49668786
114,5736634,0.00858568,-2.98698412,-0.24278654,-3.22977065,-0.71392903,14.78106468,-28.30600582
115,5756634,-0.03091971,-3.08643052,0.06889637,-3.01753415,-3.73146318,14.78106468,-48.72086912
116,5776635,-0.03713011,2.33832869,0.36009779,2.69842648,-1.03303670,14.73196314,-30.56644016
117,5796635,-0.01097045,2.19151148,0.09969125,2.29120273,1.25816603,14.73196314,32.09460942
118,5816633,0.04622301,4.33628495,-0.12141693,4.21486802,5.47303405,14.73196314,60.70497169
119,5836634,0.05433233,-2.21355435,-0.52816480,-2.74171914,2.73131491,14.73196314,42.09428744
120,5856635,0.03166228,-2.04376803,-0.26358038,-2.30734841,0.42396650,14.73196314,26.43209507
121,5876635,-0.00753114,-1.37204116,-0.04091409,-1.41295525,-0.98898875,14.85729025,-30.01212653
122,5896635,-0.02303597,-0.07865153,0.09544049,0.01678895,-0.97219979,14.85729025,-29.89912508
123,5916634,-0.04175864,-2.59319487,0.09382030,-2.49937456,-3.47157436,14.85729025,-46.72167160
124,5936635,-0.02401432,3.11821633,0.33501771,3.45323404,-0.01834032,14.85729025,-23.47898074
125,5956635,-0.00099157,1.21329172,0.00176990,1.21506162,1.19672130,14.85729025,31.41031254
126,5976634,0.05236234,4.47019345,-0.11548732,4.35470613,5.55142743,14.86767341,60.67813828
127,5996633,0.06422194,-1.00065691,-0.53573000,-1.53638691,4.01504052,14.86767341,50.34439695
