i,time,raw_accel,raw_gyro,kalman_accel
154,3768273,-0.06191465,89.32958984,-0.07321011
155,3770256,-0.16334825,94.63964844,-0.07022453
156,3772239,-0.07316438,98.36279297,-0.06636226
157,3774223,0.04980618,102.26904297,-0.06126828
158,3776206,0.16666974,104.77148438,-0.05505989
159,3778272,0.33753553,105.74804688,-0.04729878
160,3780255,0.19323547,106.11425781,-0.04073821
161,3782239,0.29465039,104.58837891,-0.03352754
162,3784222,0.35018628,103.79492188,-0.02589244
163,3786206,0.36630338,101.23144531,-0.01825856
164,3788262,0.50322078,98.11865234,0.00000000
165,3790249,0.51802878,94.82275391,0.00000000
166,3792237,0.70044864,89.57373047,0.00000000
167,3794224,0.87683161,83.47021484,0.02084151
168,3796211,0.83674335,75.41357422,0.03155442
169,3798262,0.78976812,63.69482422,0.04135498
170,3800249,0.70288393,50.99951172,0.04993151
171,3802236,0.88316439,33.54345703,0.05941980
172,3804223,0.80272187,19.93261719,0.06763609
173,3806210,0.77017119,6.68798828,0.07504082
174,3808261,0.69552169,-7.10595703,0.08123722
175,3810248,0.59727259,-19.86230469,0.08605901
176,3812235,0.55527956,-32.25244141,0.09003583
177,3814218,0.37650041,-40.30908203,0.09207596
178,3816203,0.16802760,-46.16845703,0.09199874
179,3818259,0.12673861,-48.97607422,0.09145014
180,3820243,0.09530421,-49.22021484,0.09058020
181,3822226,0.35803702,-51.60058594,0.09206779
182,3824213,0.56133892,-53.55371094,0.09533662
183,3826201,0.69973744,-57.39892578,0.09971391
184,3828263,0.76799673,-63.31933594,0.10448373
185,3830251,0.46315663,-71.07080078,0.10612170
186,3832238,0.54817708,-82.42333984,0.10819732
187,3834225,0.58860631,-92.86035156,0.11027380
188,3836208,0.29732801,-107.02050781,0.10920347
189,3838259,0.16689960,-118.86132812,0.10656146
190,3840242,-0.12296571,-125.39208984,0.10096703
191,3842226,-0.15301336,-131.67871094,0.09504485
192,3844210,-0.32886926,-135.15771484,0.08745316
193,3846193,-0.39047947,-139.67431641,0.07920903
194,3848262,-0.48231227,-140.83398438,0.07015394
195,3850250,-0.44261833,-140.77294922,0.06135793
196,3852233,-0.30184746,-141.07812500,0.05406093
197,3854220,-0.47008821,-139.97949219,0.04534356
198,3856208,-0.48255779,-138.57568359,0.03662142
199,3858275,-0.48311695,-134.79150391,0.02809219
200,3860301,-0.37008948,-132.04492188,0.02059815
201,3862342,-0.57565710,-129.84765625,0.01145018
202,3864330,-0.95848011,-126.24658203,0.00000000
203,3866317,-0.88903144,-119.83789062,-0.01240494
204,3868366,-0.82205863,-107.08154297,-0.02268416
205,3870353,-0.63294146,-95.79003906,-0.03087032
206,3872340,-0.66476769,-77.66259766,-0.03857908
207,3874328,-0.92380352,-64.17382812,-0.04811085
208,3876316,-1.12001822,-43.72705078,-0.05864766
209,3878367,-0.94729989,-20.22851562,-0.06674388
210,3880355,-0.60342598,-1.06347656,-0.07100511
211,3882342,-0.64040667,22.49609375,-0.07478186
212,3884329,-0.80685041,38.73144531,-0.07948168
213,3886316,-0.71050417,52.64746094,-0.08280733
214,3888367,-0.55718933,63.14550781,-0.08437325
215,3890354,-0.45192948,70.16455078,-0.08465276
216,3892341,-0.63893697,80.84570312,-0.08635052
217,3894328,-0.65272026,89.51269531,-0.08787097
218,3896316,-0.46309049,97.50830078,-0.08740799
219,3898363,-0.23605392,108.00634766,-0.08455195
220,3900346,-0.16269025,116.67333984,-0.08063201
221,3902329,-0.24604784,122.53271484,-0.07744240
222,3904313,-0.05606202,126.86621094,-0.07242922
223,3906296,0.24553215,129.73486328,-0.06465384
224,3908364,0.27815049,130.16210938,-0.05663722
225,3910348,0.29227249,128.02587891,-0.04841945
226,3912331,0.14090677,126.50000000,-0.04188580
227,3914318,0.50000036,124.05859375,-0.03227586
